sei_numero,evento,inicio_data,inicio_horario,fim_data,fim_horario,publico_previsto,cpr,cidade,efetivo_ref,cia,pelotão,motorizado,efetivo
00050-00001709/2025-11,DF Folia 2025 - GALINHO DE BRASÍLIA,2025-03-01,16:00:00,2025-03-01,22:00:00,30000,1º CPR,Plano Piloto - Asa Norte,200,3,2,0,198
00050-00001317/2025-43,Carnaval do Mané,2025-03-01,16:00:00,2025-03-02,04:00:00,20000,1º CPR,Plano Piloto - Asa Norte,133,2,1,0,126
00050-00001830/2025-34,DF Folia 2025 - Bloco Bora Coisar,2025-03-01,16:00:00,2025-03-01,19:00:00,5000,1º CPR,Plano Piloto - Asa Sul,33,0,2,0,36
00050-00001870/2025-86,Bloco CONCENTRA MAS NÃO SAI - DF Folia 2025,2025-03-01,16:00:00,2025-03-01,22:00:00,15000,1º CPR,Plano Piloto - Asa Norte,100,1,2,0,90
00050-00001335/2025-25,BLOCO GUARDIÕES DO SAMBA,2025-03-01,16:00:00,2025-03-02,03:00:00,1000,5º CPR,São Sebastião,7,0,1,0,18
00050-00000664/2025-59,FELICITTÀ FOLIA 2025,2025-03-01,16:00:00,2025-03-01,20:00:00,500,3º CPR,Águas Claras,3,0,0,1,3
00050-00001356/2025-41,BPM Bloquinho Pra Maluco,2025-03-01,16:30:00,2025-03-02,00:00:00,150,CPESP,São Sebastião,1,0,0,1,3
00050-00000938/2025-18,Iate Folia,2025-03-01,18:00:00,2025-03-02,01:00:00,4000,1º CPR,Plano Piloto - Asa Sul,27,0,2,0,36
00050-00001886/2025-99,Carnaforro,2025-03-01,20:00:00,2025-03-01,04:00:00,900,6º CPR,Recanto das Emas,6,0,1,0,18
00050-00001367/2025-21,ÁPICE,2025-03-01,21:00:00,2025-03-02,03:00:00,1000,6º CPR,Santa Maria,7,0,1,0,18
00050-00001442/2025-53,Bloco Seca Pimenteira,2025-03-02,10:00:00,2025-03-02,22:00:00,15000,2º CPR,Riacho Fundo II,100,1,2,0,90
00050-00001315/2025-54,CARNAFOLIA,2025-03-02,12:00:00,2025-03-03,00:00:00,500,5º CPR,São Sebastião,3,0,0,1,3
00050-00001877/2025-06,Bailinho Infantil,2025-03-02,12:00:00,2025-03-02,18:00:00,1000,1º CPR,Sudoeste/Octogonal,7,0,1,0,18
00050-00001725/2025-03,Bloco das Montadas - DF Folia 2025,2025-03-02,13:00:00,2025-03-02,21:00:00,30000,1º CPR,Plano Piloto - Asa Sul,200,3,2,0,198
00050-00000728/2025-11," BLOCO BARATINHA 2025 ""A CRIANÇA LONGE DAS DROGAS""",2025-03-02,13:00:00,2025-03-02,20:30:00,36000,1º CPR,Plano Piloto - Asa Sul,240,4,1,0,234
00050-00001570/2025-05,Charretinha + Tropicaos,2025-03-02,13:00:00,2025-03-02,19:00:00,1500,1º CPR,Plano Piloto - Asa Norte,10,0,1,0,18
00050-00001500/2025-49,Bloco das Montadas,2025-03-02,13:00:00,2025-03-02,22:00:00,31001,1º CPR,Plano Piloto - Asa Sul,207,3,2,0,198
00050-00001967/2025-99,Carnaval no MimoBar,2025-03-02,14:00:00,2025-03-02,23:00:00,200,1º CPR,Plano Piloto - Asa Norte,1,0,0,1,3
00050-00000493/2025-68,CARNAVAL NOROFRIENDS 2025,2025-03-02,14:30:00,2025-03-02,20:00:00,500,1º CPR,Plano Piloto - Asa Norte,3,0,0,1,3
00050-00001880/2025-11,Bloco Brincantes do Gama - DF Folia 2025,2025-03-02,15:00:00,2025-03-02,22:00:00,5000,6º CPR,Gama,33,0,2,0,36
00050-00024903/2024-85,BLOCO FIO DESENCAPADO CARNAVAL 2025,2025-03-02,15:00:00,2025-03-02,22:00:00,900,1º CPR,Sudoeste/Octogonal,6,0,1,0,18
00050-00001814/2025-41,DF Folia 2025 - Bloco Vassourinhas de Brasília,2025-03-02,15:00:00,2025-03-02,20:00:00,1000,1º CPR,Plano Piloto - Asa Sul,7,0,1,0,18
00050-00001640/2025-17,Carnaval do Bloco Menino de Ceilândia,2025-03-02,15:00:00,2025-03-02,22:00:00,8000,4º CPR,Ceilândia,53,0,2,0,36
00050-00001825/2025-21, Plataforma da Diversidade - Território Folia - DF Folia 2025,2025-03-02,15:00:00,2025-03-02,22:00:00,50000,1º CPR,Plano Piloto - Asa Norte,333,6,1,0,342
00050-00001964/2025-55,Carnaval do Mangabas Bar e Restaurante Ltda ,2025-03-02,15:00:00,2025-03-02,02:00:00,900,3º CPR,Taguatinga,6,0,1,0,18
00050-00001700/2025-00,DF Folia - BLOCO DA TOCA,2025-03-02,15:00:00,2025-03-02,22:00:00,15000,3º CPR,Águas Claras,100,1,2,0,90
00050-00001624/2025-24,BLOCO MENINO DA CEILÂNDIA - DF FOLIA 2025,2025-03-02,15:00:00,2025-03-02,22:00:00,15000,4º CPR,Ceilândia,100,1,2,0,90
00050-00000121/2025-31,CarnaMuseu,2025-03-02,15:50:00,2025-03-02,23:45:00,10001,1º CPR,Plano Piloto - Zona Central,67,1,1,0,72
00050-00001885/2025-44,Carnaval do Bloco Sem Eira Nem Beira,2025-03-02,16:00:00,2025-03-02,20:00:00,1000,5º CPR,Planaltina,7,0,1,0,18
00050-00001395/2025-48,Folia com respeito com o bloco das 11,2025-03-02,16:00:00,2025-03-02,23:55:00,1000,2º CPR,Estrutural,7,0,1,0,18
00050-00001579/2025-16,Bloco dos Raparigueiros 2025,2025-03-02,16:00:00,2025-03-02,23:00:00,32000,1º CPR,Plano Piloto - Asa Norte,213,3,2,0,198
00050-00000664/2025-59,FELICITTÀ FOLIA 2025,2025-03-02,16:00:00,2025-03-02,20:00:00,500,3º CPR,Águas Claras,3,0,0,1,3
00050-00001857/2025-27,Carnaval do Àsé Dúdú 2025,2025-03-02,16:00:00,2025-03-02,22:00:00,18000,3º CPR,Taguatinga,120,2,1,0,126
00050-00001717/2025-59,DF Folia - TESOURINHA,2025-03-02,16:00:00,2025-03-02,22:00:00,3000,1º CPR,Plano Piloto - Asa Norte,20,0,1,0,18
00050-00001317/2025-43,Carnaval do Mané,2025-03-02,16:00:00,2025-03-03,04:00:00,20000,1º CPR,Plano Piloto - Asa Norte,133,2,1,0,126
00050-00001356/2025-41,BPM Bloquinho Pra Maluco,2025-03-02,16:30:00,2025-03-03,00:00:00,150,CPESP,São Sebastião,1,0,0,1,3
00050-00001367/2025-21,ÁPICE,2025-03-02,17:00:00,2025-03-03,03:00:00,1000,6º CPR,Santa Maria,7,0,1,0,18
00050-00000938/2025-18,Iate Folia,2025-03-02,18:00:00,2025-03-03,01:00:00,4000,1º CPR,Plano Piloto - Asa Sul,27,0,2,0,36
00050-00001442/2025-53,Bloco Seca Pimenteira,2025-03-03,10:00:00,2025-03-03,22:00:00,15000,2º CPR,Riacho Fundo II,100,1,2,0,90
00050-00001901/2025-07,Bloco Brilho Cor e Som,2025-03-03,10:00:00,2025-03-03,17:00:00,1000,3º CPR,Águas Claras,7,0,1,0,18
00050-00001690/2025-02,DF Folia - DIVINAS TETAS,2025-03-03,12:00:00,2025-03-03,20:00:00,30000,1º CPR,Plano Piloto - Asa Norte,200,3,2,0,198
00050-00000794/2025-91,BLOCO BARATONA 2025,2025-03-03,13:00:00,2025-03-03,20:30:00,36000,1º CPR,Plano Piloto - Asa Sul,240,4,1,0,234
00050-00001618/2025-77,DF Folia 2025 - Bloco de Carnaval (Feira da Torre),2025-03-03,13:00:00,2025-03-03,18:00:00,1000,1º CPR,Plano Piloto - Asa Norte,7,0,1,0,18
00050-00001967/2025-99,Carnaval no MimoBar,2025-03-03,14:00:00,2025-03-03,23:00:00,200,1º CPR,Plano Piloto - Asa Norte,1,0,0,1,3
00050-00001710/2025-37,DF Folia - BLOCO DO AMOR,2025-03-03,14:00:00,2025-03-03,20:00:00,30000,1º CPR,Plano Piloto - Asa Sul,200,3,2,0,198
00050-00000492/2025-13,CONCENTRA MAS NÃO SAI,2025-03-03,15:00:00,2025-03-03,22:00:00,1000,1º CPR,Plano Piloto - Asa Norte,7,0,1,0,18
00050-00001964/2025-55,Carnaval do Mangabas Bar e Restaurante Ltda ,2025-03-03,15:00:00,2025-03-03,02:00:00,900,3º CPR,Taguatinga,6,0,1,0,18
00050-00001825/2025-21, Plataforma da Diversidade - Território Folia - DF Folia 2025,2025-03-03,15:00:00,2025-03-03,22:00:00,50000,1º CPR,Plano Piloto - Asa Norte,333,6,1,0,342
00050-00000121/2025-31,CarnaMuseu,2025-03-03,15:50:00,2025-03-03,23:45:00,10001,1º CPR,Plano Piloto - Zona Central,67,1,1,0,72
00050-00001317/2025-43,Carnaval do Mané,2025-03-03,16:00:00,2025-03-04,04:00:00,20000,1º CPR,Plano Piloto - Asa Norte,133,2,1,0,126
00050-00001927/2025-47,"CARNAVAL BLOCO DA DELMINA ""AS PIRIGUETY'S""",2025-03-03,16:00:00,2025-03-03,23:00:00,1000,3º CPR,Taguatinga,7,0,1,0,18
00050-00001367/2025-21,ÁPICE,2025-03-03,17:00:00,2025-03-04,03:00:00,1000,6º CPR,Santa Maria,7,0,1,0,18
00050-00000938/2025-18,Iate Folia,2025-03-03,18:00:00,2025-03-04,01:00:00,4000,1º CPR,Plano Piloto - Asa Sul,27,0,2,0,36
00050-00001315/2025-54,CARNAFOLIA,2025-03-03,19:00:00,2025-03-04,03:00:00,500,5º CPR,São Sebastião,3,0,0,1,3
00050-00001886/2025-99,Carnaforro,2025-03-03,20:00:00,2025-03-03,04:00:00,900,6º CPR,Recanto das Emas,6,0,1,0,18
00050-00001680/2025-69,DF Folia - AS LEIS DE GAGA,2025-03-04,10:00:00,2025-03-04,22:00:00,15000,3º CPR,Águas Claras,100,1,2,0,90
00050-00001315/2025-54,CARNAFOLIA,2025-03-04,12:00:00,2025-03-05,00:00:00,500,5º CPR,São Sebastião,3,0,0,1,3
00050-00000812/2025-35,BLOCO PORTADORES DA ALEGRIA 2025 (PCD),2025-03-04,13:00:00,2025-03-04,20:30:00,36000,1º CPR,Plano Piloto - Asa Sul,240,4,1,0,234
00050-00001718/2025-01,DF Folia 2025 - Bloco Sustentável do PATUBATÊ,2025-03-04,13:00:00,2025-03-04,18:00:00,5000,1º CPR,Plano Piloto - Asa Norte,33,0,2,0,36
00050-00000850/2025-98,BLOCO PACOTÃO 2025,2025-03-04,13:00:00,2025-03-04,20:30:00,22000,1º CPR,Plano Piloto - Asa Norte,147,2,2,0,144
00050-00001967/2025-99,Carnaval no MimoBar,2025-03-04,14:00:00,2025-03-04,23:00:00,200,1º CPR,Plano Piloto - Asa Norte,1,0,0,1,3
00050-00000998/2025-22,EVENTO CARNAVALESCO,2025-03-04,14:00:00,2025-03-05,06:00:00,150,5º CPR,São Sebastião,1,0,0,1,3
00050-00001748/2025-18,Bloco Rainha de Corpas,2025-03-04,15:00:00,2025-03-04,21:00:00,1000,1º CPR,Plano Piloto - Asa Norte,7,0,1,0,18
00050-00001839/2025-45,Bloco Ventoinha de Canudo - DF Folia 2025,2025-03-04,15:00:00,2025-03-04,21:00:00,15000,1º CPR,Plano Piloto - Asa Norte,100,1,2,0,90
00050-00001825/2025-21, Plataforma da Diversidade - Território Folia - DF Folia 2025,2025-03-04,15:00:00,2025-03-04,22:00:00,50000,1º CPR,Plano Piloto - Asa Norte,333,6,1,0,342
00050-00001964/2025-55,Carnaval do Mangabas Bar e Restaurante Ltda ,2025-03-04,15:00:00,2025-03-04,02:00:00,900,3º CPR,Taguatinga,6,0,1,0,18
00050-00000121/2025-31,CarnaMuseu,2025-03-04,15:50:00,2025-03-04,23:45:00,10001,1º CPR,Plano Piloto - Zona Central,67,1,1,0,72
00050-00001689/2025-70,BLOCO GROOVE DO BEM 2025 - DF Folia 2025,2025-03-04,16:00:00,2025-03-04,23:00:00,15000,3º CPR,Taguatinga,100,1,2,0,90
00050-00001717/2025-59,DF Folia - TESOURINHA,2025-03-04,16:00:00,2025-03-04,22:00:00,3000,1º CPR,Plano Piloto - Asa Norte,20,0,1,0,18
00050-00001882/2025-19,Bloco Vem Kem Ker - Carnaval de Respeito,2025-03-04,16:00:00,2025-03-04,00:00:00,2000,2º CPR,Estrutural,13,0,1,0,18
00050-00001317/2025-43,Carnaval do Mané,2025-03-04,16:00:00,2025-03-05,04:00:00,20000,1º CPR,Plano Piloto - Asa Norte,133,2,1,0,126
00050-00001367/2025-21,ÁPICE,2025-03-04,17:00:00,2025-03-05,03:00:00,1000,6º CPR,Santa Maria,7,0,1,0,18
00050-00000938/2025-18,Iate Folia,2025-03-04,18:00:00,2025-03-05,01:00:00,4000,1º CPR,Plano Piloto - Asa Sul,27,0,2,0,36
